record,label,xa_max,xa_min,xa_mean,xa_var,xa_std,xa_rms,xa_delta,xa_Q1,xa_media,xa_Q3,ya_max,ya_min,ya_mean,ya_var,ya_std,ya_rms,ya_delta,ya_Q1,ya_media,ya_Q3,za_max,za_min,za_mean,za_var,za_std,za_rms,za_delta,za_Q1,za_media,za_Q3,xw_max,xw_min,xw_mean,xw_var,xw_std,xw_rms,xw_delta,xw_Q1,xw_media,xw_Q3,yw_max,yw_min,yw_mean,yw_var,yw_std,yw_rms,yw_delta,yw_Q1,yw_media,yw_Q3,zw_max,zw_min,zw_mean,zw_var,zw_std,zw_rms,zw_delta,zw_Q1,zw_media,zw_Q3
11,1,0.848289834,-0.024502968,-0.045374522,4.725334901,3.266190085,3.190892556,0.544990953,-4.763015375,-1.079285591,3.223658373,0.509475983,0.25777933,-0.768136417,0.304452189,0.834234512,0.810240931,0.139621838,-1.332449846,-2.746548741,0.171532351,-0.459327355,-1.466651447,-4.112954115,0.77667726,1.098218989,1.592433551,0.474032045,-3.275883937,-5.478866922,-0.974985857,-0.139438304,0.616229357,1.477376965,-0.221309986,0.042502216,0.200932356,-0.435605999,0.780931109,1.558206414,1.215476171,-0.151842026,0.623998271,1.803745886,-0.032572038,0.256132972,1.067785318,-0.480699413,1.407560147,1.986058505,1.988507204,-0.362735518,0.472647552,0.417085635,-0.24443222,0.043986252,-0.075412982,-0.471538375,-0.59812032,0.177143154,1.272982441
12,1,0.093417427,0.315825014,0.851269737,0.512814447,0.754202391,0.715042024,-0.128067359,-0.174772286,0.386945568,1.630257835,0.500256187,-0.12141498,0.208095191,0.568457865,1.202419297,1.157962959,0.358135209,-1.179101908,-0.695635173,0.935674541,0.245355471,-0.532876297,0.829018462,1.100291644,1.373863273,1.332317685,0.438589424,-0.478151545,0.848028869,2.188183117,0.236470833,0.593397084,3.688096776,0.877069416,1.132710654,2.003274443,-0.200267091,1.651934582,3.391007623,3.981792674,-0.377530096,0.22064819,-0.297949651,0.254466729,0.531648111,0.048126668,-0.373192219,-1.215761261,-0.050692151,0.10932757,0.349549032,0.816017919,2.839293377,-0.138275911,0.168699593,0.22198851,-0.463412784,1.126879245,1.930499733,3.618658135
13,1,-0.199512997,-0.361002945,-2.229385373,0.941323765,1.108766492,1.309223362,0.088391983,-2.406692768,-2.977211985,-0.068502248,1.236163535,-1.097154117,-0.181254785,1.480815288,2.197418512,2.156338942,1.355424952,-1.567324536,-1.609965639,1.470476483,0.619951291,-0.79848608,-0.630712042,2.222448914,2.178414065,2.073248299,0.820219397,-3.323097358,0.544249499,2.131898972,0.137430892,0.39121731,3.295451843,0.796353567,1.068962196,1.778605093,-0.142953529,1.120232462,3.582177285,4.412022956,0.073755733,0.111277558,0.530994261,1.139654593,1.215390955,0.964145326,-0.022447876,-0.593355217,0.59758478,1.407017541,0.354292325,0.680858148,1.337917574,0.156204689,0.471988798,0.34076548,-0.364144191,-0.415596515,0.19849084,1.748629413
14,1,0.216131523,-0.458161389,-2.451697721,1.027005337,1.174683191,1.429633563,0.405707816,-3.374102236,-3.488093922,-0.772199955,0.416020779,-0.805591308,0.794264013,0.467548956,1.068114517,1.035964572,0.713684422,-0.627825775,0.727907028,1.150376051,0.47078661,-0.881008496,0.034878674,2.127070588,2.116743069,2.01336698,0.767210916,-2.453021469,-0.582495801,1.744163748,-0.328222816,-1.600099344,-1.800736656,1.58177448,1.633096681,1.719453814,0.722965417,-2.548382165,-0.629624167,0.462894244,-0.133237887,-2.130178115,-1.708537457,1.941338898,1.71446849,2.128299075,1.232104963,-2.043256262,-1.453679539,-1.078698459,0.453110936,-0.377198043,1.025998386,0.755659052,0.973184293,0.844039588,0.435118556,0.112525641,1.265875121,1.784019813
15,1,-0.181269386,-0.437198498,-2.370155178,0.801681362,0.998071024,1.246996996,0.144794119,-3.612661605,-1.986101028,-0.117930183,-0.205477283,0.276484893,0.774243815,0.095654169,0.49368353,0.463095863,-0.280845405,-0.47059561,-0.211743358,1.253823141,0.778980089,-0.673963008,1.832855889,3.249792281,2.78853186,2.794862229,0.857527419,-0.989405439,2.419396702,3.756634637,0.020685488,-0.169657466,0.082832804,0.571709535,0.882232086,0.745680377,0.10946168,0.07372829,0.480980539,0.681220059,0.574622494,-0.191785526,-1.435010391,2.223006782,1.872747403,2.096132313,0.47904456,-2.230821796,-1.950599703,0.306316502,0.323302808,0.939369905,2.652533501,-0.475792428,-0.274120995,-0.210531783,-0.561885863,1.749255497,1.825184484,2.387072224
16,1,-0.195382368,-0.417693895,-0.886396889,0.818924352,1.011971227,0.959720585,0.1244506,-2.134471647,-1.684680685,0.373747697,-0.016681008,-1.011555831,-0.651980914,0.238858447,0.733043614,0.704150937,0.587448252,0.295173525,-0.099210378,0.056374269,-0.003653312,0.086189712,-1.866093235,0.01327818,0.298195312,0.370280684,-0.047658461,-1.899949974,-1.336420965,-0.812387214,-0.241244724,0.324547074,-0.045932546,-0.367310135,-0.172665349,-0.340644185,-0.328633769,0.238828948,-0.138045035,-0.181809045,1.143493705,0.761537346,1.50928046,0.514627001,0.753459923,1.162058712,0.247198526,1.265425711,1.346766223,1.098333855,-0.112447739,0.19138613,-0.015483021,0.276658741,0.582819825,0.499104449,-0.178562496,0.160400738,0.410544517,0.586408687
17,1,-0.133250827,-0.557324979,-0.024291719,1.520600002,1.529483209,1.436193575,0.245758248,-1.148035971,0.877392227,0.972085858,-0.427590549,0.233177447,-0.441937086,-0.138452656,0.019434196,-0.015013566,-0.382482321,-0.042580162,-0.00074402,-0.079278048,-0.419389714,-0.198349944,-1.150529924,0.242632602,0.569258294,0.528092451,-0.16673323,-2.038892325,0.025062939,0.08065456,-0.653228744,0.630271204,-0.279553283,-0.613078209,-0.66361032,-0.833068111,-0.747428417,-0.035472146,-0.523418799,-0.525993271,-0.231135393,0.902471314,1.480140905,-0.646073106,-0.556336104,0.132671898,-0.702457793,1.351095782,1.408967634,1.5884369,-0.505192428,0.802950638,0.411137869,-0.654756712,-0.601471585,-0.711650378,-0.761161738,-0.099920099,0.534361093,0.229673457
18,1,0.215787304,-0.279703384,2.007640226,2.085534484,1.894549013,2.023928343,0.300115268,-0.666526569,5.751205902,3.228861314,-0.357184834,-0.068958073,-1.687889573,0.075049126,0.456741233,0.51858898,-0.163848955,-1.170366898,-2.29079017,0.207641241,-0.064762714,-1.948771654,-2.620348948,2.307258051,2.23242553,2.28804975,0.982353842,-3.024978332,-3.797033864,1.037485033,-0.240248791,-0.060747526,0.777559652,1.000063994,1.226890145,1.155851151,-0.107230692,0.273929088,0.70704625,2.027134495,0.405740265,0.856227356,2.461092156,0.594265178,0.817264564,2.252950686,-0.274242531,1.573059147,1.95703118,3.039791776,0.869255872,0.29978159,0.356457631,1.017057487,1.161384253,1.051434241,0.096002953,-2.134611692,0.306652447,0.481653103
19,1,-0.397266849,0.708651368,-0.106330223,-0.455595937,-0.32513415,-0.437530023,-0.666901505,-0.71336031,-0.959228335,0.537640324,-0.655780498,0.330161729,0.375739474,-0.122840116,0.055791096,0.011865573,-0.57039662,-0.160017507,0.708213757,1.03229022,0.309111343,-0.503594149,-2.491455697,2.347715007,2.257927024,2.294585388,0.464394139,-5.16711866,-2.084822868,0.554692141,-0.512802281,0.597506893,0.604165855,-0.512366911,-0.432196742,-0.511680955,-0.645624875,0.229728912,0.034917993,1.081912143,-0.219214295,0.959725739,1.797332782,-0.745535225,-0.760488914,0.470006747,-0.730340523,1.848241799,1.831937231,1.980383949,-0.604169149,0.999117294,1.682919418,-0.80795309,-1.077247544,-1.125362608,-0.93833373,1.933275398,1.569012256,0.827063405
20,1,-0.11741675,0.04549486,2.120449108,1.651927926,1.61777714,1.786131083,-0.100296842,0.693115482,2.54286734,4.257742804,-0.548076518,0.146359232,-1.166014787,-0.105270323,0.095667774,0.115791095,-0.400241783,-0.804467071,-1.57339242,0.033928202,-0.128759174,-0.359253866,-0.402950547,0.830092381,1.145598691,1.055910019,0.105615329,-0.598208528,0.381313291,0.610976286,-0.650683583,0.769091422,0.621629259,-0.672225229,-0.841770205,-0.86866775,-0.825482161,0.871931472,0.597806443,0.131552713,-0.357390664,0.856502617,2.003257201,-0.479435784,-0.28435153,0.974960868,-0.75329277,1.517243798,2.520299516,2.385192819,-0.48195029,0.826959799,0.433598204,-0.513401849,-0.334648424,-0.453343301,-0.770139664,-0.511346708,-0.118878086,0.965793772
