record,label,xa_max,xa_min,xa_mean,xa_var,xa_std,xa_rms,xa_delta,xa_Q1,xa_media,xa_Q3,ya_max,ya_min,ya_mean,ya_var,ya_std,ya_rms,ya_delta,ya_Q1,ya_media,ya_Q3,za_max,za_min,za_mean,za_var,za_std,za_rms,za_delta,za_Q1,za_media,za_Q3,xw_max,xw_min,xw_mean,xw_var,xw_std,xw_rms,xw_delta,xw_Q1,xw_media,xw_Q3,yw_max,yw_min,yw_mean,yw_var,yw_std,yw_rms,yw_delta,yw_Q1,yw_media,yw_Q3,zw_max,zw_min,zw_mean,zw_var,zw_std,zw_rms,zw_delta,zw_Q1,zw_media,zw_Q3
11,1,-0.271872464,0.453099678,0.391565675,-0.337637256,-0.161946148,-0.249800402,-0.438914133,0.620657716,0.197299488,0.055465909,0.01870035,0.210056443,-2.071766439,-0.140321521,0.006188719,0.152555876,-0.113854363,-0.80608464,-1.814128461,-0.827453756,1.973492057,0.505593379,2.639204984,1.821049389,1.927055978,2.119373201,0.992109736,-0.07641017,0.805453722,0.687944584,-0.518990131,0.553899397,-0.520069232,-0.469004957,-0.338944161,-0.4707652,-0.622180322,-0.882570453,-0.259908373,-0.391011764,-0.586055618,-0.138995813,-0.702431147,0.134374352,0.416871756,0.062386993,-0.279524592,-0.912648751,-1.036034088,-0.289772562,-0.216836876,0.776598462,1.4306382,-0.441165167,-0.224207135,-0.349614035,-0.637077022,0.75091488,0.429939625,1.214120797
12,1,-0.752973247,0.876506772,0.219718717,-0.871722955,-1.237513879,-1.336635139,-0.989234842,0.718909379,-0.020422463,-0.463456707,-0.386756662,0.660708315,-0.672301784,-0.180079161,-0.09042551,-0.111591893,-0.614889675,-0.661921601,-1.850429715,-0.273626349,-0.418517755,0.736720437,0.897584283,-0.305307831,-0.167844157,-0.111988297,-0.656990893,-0.027403634,1.056826902,0.978575836,-0.856128251,0.534759751,-0.650935056,-0.612744901,-0.643919333,-0.737795409,-0.809958379,-0.240447553,-0.358330153,-0.532153399,-0.808444461,0.518737903,-1.280037182,-0.788848399,-0.85127183,-0.510652487,-0.829176116,-1.114662305,-1.323529493,-1.57409816,-0.804260469,0.983641897,0.198373075,-0.824771521,-1.192992503,-1.162675723,-1.001379735,0.783559341,0.119702654,-0.621215461
13,1,0.521084119,0.118235809,1.315866784,1.417022148,1.468252977,1.482729241,0.250964079,-0.13830078,-0.184325504,1.639207458,1.474246652,-0.044820435,-0.775415418,0.573927649,1.203610318,1.176445294,0.876162191,-1.622331709,-0.535207333,-0.591716811,-0.579742161,-0.505408499,-1.143729233,-0.095805658,0.149369592,0.119423989,-0.102592391,-0.050545609,-0.845230158,-0.568131256,0.282377096,0.260984472,1.454622057,0.288402794,0.617842088,0.709558968,0.017402734,1.267473153,1.351564651,1.300167467,0.026909923,0.190879276,0.983503704,0.383909127,0.639889369,0.598239669,-0.102354252,0.726267662,0.930601141,1.455331218,0.507107169,0.54541048,0.010094534,0.211050107,0.522876034,0.435287288,-0.205317137,-0.872405132,-1.058641355,-0.370161545
14,1,0.8071486,0.016645939,-0.029165628,4.550067987,3.209932699,3.135116379,0.488347123,-4.615159156,-1.035642792,3.177992839,0.480148038,0.265669675,-0.829471233,0.322266597,0.852873677,0.830359023,0.119069222,-1.414209011,-2.746791466,0.180347418,-0.4712303,-1.397553216,-4.106754753,0.773595994,1.101058309,1.597175026,0.438772139,-3.313564125,-5.562666832,-0.984744296,-0.174478131,0.632472678,1.437169392,-0.250065596,0.005242078,0.160169728,-0.463994246,0.739700906,1.483773013,1.166586991,-0.152356176,0.630010022,1.805894534,-0.030421809,0.254990248,1.081933593,-0.48856957,1.410507118,1.984750957,1.993699818,-0.378964554,0.486784995,0.383642391,-0.256388948,0.027125472,-0.090619546,-0.488569293,-0.615700962,0.150308992,1.175802041
15,1,0.351333422,-0.08424811,0.615696434,2.982492147,2.427902737,2.364884948,0.267303026,-2.343979414,0.30738362,2.42272923,1.602074423,-0.048514303,-0.068901677,0.489985125,1.091939394,1.047840715,0.952017597,-1.525884605,1.327326273,0.476820082,-0.562646201,-1.053583455,-4.308548625,0.543840798,0.884334564,1.486542825,0.198401438,-3.913894189,-3.749986902,-0.992228362,-0.407080662,0.040262946,1.280766309,-0.2494191,0.006135391,0.104674972,-0.262922167,1.442140634,1.557222102,1.218254911,-0.404042848,0.7049858,1.547364658,-0.61813922,-0.501024121,0.259716362,-0.69269315,1.664001545,1.73406052,1.600302788,-0.003031965,0.815419106,0.219902163,-0.417288086,-0.188841149,-0.287738445,-0.586441664,-0.525186775,-0.447905794,-0.088716892
16,1,0.11331159,0.316718756,2.089043839,-0.069824061,0.173295394,0.467106581,-0.119524145,1.533401425,3.776256938,1.938487086,-0.210967066,-0.225409528,0.638486252,0.202650493,0.66617661,0.631941105,0.012165454,0.175645354,1.408305995,1.151089509,-0.154480143,-0.468748941,-1.182611396,0.719766114,1.051832876,0.992839989,0.149448262,-1.369638201,-0.370414152,0.11790818,0.079595402,0.636166294,3.456896996,-0.134680811,0.156681123,1.225605708,-0.316353908,2.708794027,3.803295261,3.704616032,-0.442313139,0.325432383,-0.169455601,-0.237173446,0.029384677,-0.570005093,-0.479642383,-0.642862908,0.009782527,0.377232783,-0.02416564,0.901266384,2.188819071,-0.57037933,-0.43742058,-0.436770727,-0.655824565,1.690185052,1.690364268,1.592023007
17,1,0.067797501,0.341420403,0.861709729,0.472730362,0.722255665,0.683353961,-0.162400872,-0.151116215,0.368541471,1.604526986,0.470851473,-0.117056072,0.165709042,0.596635884,1.233030308,1.189118819,0.340791045,-1.253802249,-0.711128799,0.986382473,0.224242872,-0.493379582,0.793370107,1.096686992,1.379834937,1.334477946,0.404216956,-0.49024314,0.836177111,2.169789767,0.193890539,0.610087128,3.62096507,0.812843816,1.073783043,1.921369338,-0.234097149,1.5816233,3.258303016,3.881043076,-0.381153918,0.227083961,-0.302388421,0.261937242,0.533785263,0.049142952,-0.380012679,-1.223488961,-0.061744107,0.104305086,0.315978537,0.830963144,2.722572829,-0.152478211,0.150905984,0.203877973,-0.480469901,1.095165559,1.864263915,3.365256454
18,1,-0.219109834,-0.304475465,-2.199124815,0.887488506,1.073388346,1.271754373,0.046883347,-2.322620357,-2.853254129,-0.072980283,1.2128864,-1.101882271,-0.231198221,1.544808134,2.260382783,2.219186331,1.352724088,-1.659895318,-1.618660166,1.55050407,0.593943019,-0.750569294,-0.653999667,2.217029378,2.193528417,2.082761055,0.776291402,-3.361209368,0.528943225,2.113659267,0.096837268,0.41186308,3.23310212,0.734734525,1.01130156,1.701828567,-0.178108865,1.067673659,3.443394722,4.303207787,0.076350011,0.117828305,0.529153679,1.163532128,1.225667739,0.976958842,-0.025843676,-0.598550258,0.589634369,1.409049215,0.320606349,0.695485409,1.272815443,0.135773111,0.451926648,0.321495148,-0.381521388,-0.434672588,0.17117695,1.619771071
19,1,0.187988411,-0.397193617,-2.420006831,0.970420494,1.138667112,1.390993076,0.353680898,-3.263842808,-3.342516938,-0.767874182,0.385914673,-0.807604136,0.763255408,0.49176577,1.094358492,1.063247827,0.701560821,-0.677150091,0.701827731,1.212854647,0.446727803,-0.830475675,0.005954949,2.121805309,2.131156609,2.022285514,0.724610186,-2.4831756,-0.61061519,1.726982494,-0.359475762,-1.540492687,-1.801020416,1.494791824,1.56422409,1.644027547,0.667787182,-2.4784532,-0.63449873,0.428113795,-0.133495698,-2.121271046,-1.717397482,1.98007571,1.730686553,2.156105505,1.240958591,-2.054351159,-1.471443795,-1.090178976,0.417019097,-0.365059869,0.971620268,0.722546952,0.949373303,0.819855043,0.41516424,0.089122627,1.214574833,1.652804481
20,1,-0.451400261,-0.383973018,-2.066366039,0.238537265,0.501017045,0.716157598,-0.048964871,-2.060615923,-2.126698857,-0.500706102,0.473809471,-0.517430299,0.846273779,0.634653182,1.281583058,1.252925495,0.58004606,-1.017253036,0.632017626,1.605063275,0.800519209,-1.02952562,0.838556493,4.230848537,3.333511591,3.232753348,1.05576402,-3.777764923,1.160169209,3.276184276,-0.200828907,0.128126231,-1.083210531,0.648038115,0.940014655,0.890830726,-0.191530714,-2.291219712,-0.151203721,0.522628282,-0.155652182,-0.026807119,-1.51322476,1.518904537,1.455715405,1.716156837,-0.080551313,-1.907076761,-1.871437401,-1.437294003,-0.434498297,0.638832518,0.965356939,-0.508583283,-0.330238652,-0.475993582,-0.618102922,1.068456455,1.183968495,0.817719877
